Date,open,high,low,close,volume,pct_chg,swing,turn,BIAS,RSI,DMA
2000/1/4,1368.693,1407.518,1361.214,1406.371,903402300,2.9117,3.3883,0.9906,2.2708,65.0531,-10.3336
2000/1/5,1407.829,1433.78,1398.323,1409.682,1057998400,0.2354,2.5212,1.5534,2.5852,66.4627,3.5193
2000/1/6,1406.036,1463.955,1400.253,1463.942,1348051500,3.8491,4.5189,1.8425,6.0058,81.2972,19.699
2000/1/7,1477.154,1522.825,1477.154,1516.604,3451569900,3.5973,3.1197,3.6095,8.8021,87.6562,38.7252
2000/1/10,1531.712,1546.723,1506.404,1545.112,3125353900,1.8797,2.6585,3.4032,9.4678,89.8894,56.8665
2000/1/11,1547.678,1547.708,1468.757,1479.781,2192455400,-4.2282,5.1097,2.9145,3.9233,60.026,59.1071
2000/1/12,1473.761,1489.28,1434.996,1438.02,1522286900,-2.8221,3.6684,2.3009,0.3374,47.8356,55.5079
2000/1/13,1437.453,1444.066,1418.814,1424.442,861291200,-0.9442,1.756,1.427,-1.1316,44.3236,40.0458
2000/1/14,1426.224,1433.474,1401.706,1408.848,744701200,-1.0947,2.2302,1.1756,-2.5651,40.2509,13.3024
2000/1/17,1408.988,1433.383,1402.663,1433.33,764983100,1.7377,2.1805,1.2067,-1.3275,49.0677,-15.729
2000/1/18,1436.888,1443.592,1421.642,1426.623,776712800,-0.4679,1.5314,1.3628,-1.9259,46.7975,-28.3858
2000/1/19,1425.874,1443.672,1425.143,1440.724,800659600,0.9884,1.2988,1.2044,-1.1675,52.3586,-30.9492
2000/1/20,1443.094,1466.901,1443.094,1466.863,1007080200,1.8143,1.6524,1.5875,0.6055,61.3461,-22.7571
2000/1/21,1471.905,1476.456,1458.925,1465.085,1505097300,-0.1212,1.1951,2.3721,0.8399,60.4158,-6.3578
2000/1/24,1465.858,1477.412,1449.472,1477.344,1624151500,0.8367,1.9071,2.5425,2.1601,64.8288,9.2218
2000/1/25,1483.033,1490.464,1467.438,1476.506,1363598700,-0.0567,1.5586,2.3134,2.1253,64.2413,19.5259
2000/1/26,1477.295,1482.464,1469.98,1481.117,1038443700,0.3123,0.8455,1.7118,2.1398,66.2602,23.2948
2000/1/27,1490.447,1506.922,1485.234,1506.767,1898178600,1.7318,1.4643,2.6617,3.3221,75.4953,23.0431
2000/1/28,1514.558,1536.346,1510.745,1534.997,2938895600,1.8735,1.6991,3.372,4.3551,82.0017,24.4106
2000/2/14,1591.445,1674.132,1587.818,1673.943,4358082000,9.0519,5.6231,5.6208,11.9697,92.9919,39.6691
2000/2/15,1709.224,1746.443,1663.005,1670.67,5254347200,-0.1955,4.9845,5.5916,9.9558,91.4141,54.0972
2000/2/16,1674.936,1695.881,1649.699,1693.109,3743555000,1.3431,2.7643,5.3159,9.6119,92.4658,71.2571
2000/2/17,1734.268,1770.88,1615.629,1640.649,5143904700,-3.0984,9.1696,7.4365,5.0339,68.8168,80.6549
2000/2/18,1623.961,1668.164,1583.582,1668.091,2679965100,1.6726,5.1554,4.146,5.4206,73.1306,86.9731
2000/2/21,1681.361,1697.01,1652.476,1677.136,3105240800,0.5422,2.6698,5.0912,4.6706,74.5245,67.6325
2000/2/22,1681.299,1687.511,1627.467,1632.294,2425177800,-2.6737,3.5802,4.1737,0.8911,56.9486,44.3785
2000/2/23,1618.008,1630.546,1586.634,1594.93,1918606000,-2.289,2.6902,3.0398,-2.107,46.0819,13.3614
2000/2/24,1593.948,1634.323,1593.929,1634.309,1393287800,2.469,2.5327,2.3477,-0.4692,56.5642,-0.6608
2000/2/25,1639.919,1650.365,1618.177,1631.576,1705805500,-0.1672,1.9695,2.8822,-1.2166,55.6629,-17.6217
2000/2/28,1639.799,1704.884,1639.696,1704.855,2612794300,4.4913,3.9954,3.7594,3.0272,70.6892,-15.1691
